,age_of_driver,Sex_of_driver,car_age,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity,accident history
4052,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,3
4053,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,9
4054,31-50,Unknown,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,26
4055,18-30,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,2,25
4056,18-30,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,Moving Backward,2,138
4057,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Overtaking,2,3571
4059,Unknown,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,281
4060,Under 18,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,2525
4061,Over 51,Male,Below 1yr,Asphalt roads,Wet or damp,Daylight,Raining,Overloading,2,685
4064,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Unknown,Changing lane to the right,2,1937
4067,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,2725
4068,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,3300
4069,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,364
4071,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,171
4074,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,2250
4075,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,2233
4076,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Getting off the vehicle improperly,2,2259
4077,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Overtaking,2,3260
4079,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,288
4085,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overspeed,1,2380
4108,Unknown,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Other,2,47
4109,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,46
4118,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Other,2,628
4120,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Unknown,Driving at high speed,2,400
4128,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,1160
4129,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1148
4131,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,48
4139,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,225
4140,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1065
4143,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,3588
4146,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,445
4147,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,443
4148,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,448
4149,Under 18,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,3041
4151,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3589
4152,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3595
4153,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,740
4157,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Other,2,225
4158,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,224
4160,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,72
4164,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,1683
4165,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,1,1682
4166,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,0,1104
4170,Under 18,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,242
4171,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,301
4173,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,103
4174,Over 51,Male,2-5yrs,Gravel roads,Dry,Daylight,Normal,No distancing,2,104
4176,Unknown,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,2,2981
4180,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,2931
4182,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,983
4186,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - no lighting,Normal,Driving to the left,2,614
4190,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3696
4191,Unknown,Unknown,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Driving carelessly,2,141
4197,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,654
4200,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Unknown,Changing lane to the right,2,175
4204,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2674
4205,18-30,Male,5-10yrs,Asphalt roads with some distress,Dry,Daylight,Normal,Other,2,2676
4206,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,3392
4207,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,702
4211,Unknown,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,879
4217,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,712
4219,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,190
4220,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,99
4221,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,158
4228,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,420
4230,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,116
4231,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,85
4233,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,2546
4234,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,1,2353
4236,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,2793
4248,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,2878
4250,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1581
4256,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,902
4257,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,2609
4258,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2607
4260,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Moving Backward,2,3010
4268,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,215
4271,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3732
4286,Unknown,Female,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3832
4289,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Changing lane to the left,2,208
4290,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Unknown,No priority to vehicle,2,1008
4291,Unknown,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,42
4292,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,2,44
4293,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,2,43
4294,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,2,6
4295,Under 18,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,2,7
4296,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3267
4307,Unknown,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Getting off the vehicle improperly,2,55
4314,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,763
4317,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,3709
4318,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overturning,2,3611
4324,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,1461
4327,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,232
4329,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1084
4331,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1085
4340,Under 18,Male,Below 1yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,603
4341,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,3
4343,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,939
4344,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,940
4346,Unknown,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,845
4347,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,848
4348,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,3340
4349,Unknown,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,2,3343
4350,Unknown,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,3344
4351,Unknown,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,Driving carelessly,2,3347
4352,Unknown,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Windy,No priority to pedestrian,2,2414
4353,18-30,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Windy,Driving carelessly,2,2417
4354,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,2701
4355,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2699
4357,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,210
4358,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,211
4359,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,174
4362,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Other,No priority to vehicle,2,634
4365,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3740
4366,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,3739
4367,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,508
4369,Under 18,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,509
4372,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,2229
4373,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2224
4374,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Unknown,Changing lane to the left,2,744
4375,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,0,2950
4377,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,3406
4406,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overtaking,1,2287
4407,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,318
4416,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,1,2306
4418,Under 18,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,1,2303
4426,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Moving Backward,2,145
4427,31-50,Unknown,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Moving Backward,2,3235
4429,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,3634
4443,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Overturning,2,775
4445,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1814
4467,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1568
4468,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1566
4474,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving to the left,2,2567
4475,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,2565
4476,Unknown,Female,1-2yr,Asphalt roads,Wet or damp,Daylight,Other,No priority to vehicle,2,1209
4477,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Other,No distancing,2,1219
4482,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,1503
4486,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,2,179
4489,Unknown,Female,Below 1yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving carelessly,0,3084
4492,Unknown,Male,Unknown,Gravel roads,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,2,296
4493,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,233
4499,Unknown,Female,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,2011
4501,Unknown,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Other,No priority to vehicle,2,17
4506,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,1,286
4508,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,1243
4511,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,2584
4513,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Windy,Changing lane to the right,1,113
4514,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Other,No distancing,1,256
4515,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,168
4516,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,795
4518,Over 51,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,2,782
4519,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,1,3463
4528,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,2969
4530,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,627
4531,31-50,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,1886
4532,31-50,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving to the left,2,1887
4536,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Changing lane to the right,2,372
4537,18-30,Male,Below 1yr,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Driving under the influence of drugs,2,3383
4543,Over 51,Male,Above 10yr,Gravel roads,Wet or damp,Darkness - lights lit,Other,Moving Backward,2,2263
4544,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Other,No distancing,2,2262
4546,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,35
4549,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Overtaking,2,621
4561,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,2382
4562,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Turnover,2,2381
4563,Unknown,Female,Above 10yr,Earth roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,2021
4564,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,2009
4565,Under 18,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,4
4567,31-50,Male,Unknown,Gravel roads,Dry,Daylight,Normal,Driving carelessly,2,286
4568,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1394
4572,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,374
4573,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,373
4574,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,72
4578,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,172
4579,Unknown,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,3667
4580,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3610
4587,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,735
4589,Under 18,Male,Unknown,Earth roads,Wet or damp,Daylight,Snow,Overspeed,2,526
4590,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Snow,Driving under the influence of drugs,2,118
4591,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Other,Driving carelessly,2,3665
4595,31-50,Male,5-10yrs,Gravel roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,3500
4596,Unknown,Male,2-5yrs,Gravel roads,Dry,Daylight,Other,Changing lane to the right,2,2153
4597,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Other,Changing lane to the right,2,2154
4598,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Snow,Changing lane to the right,2,3446
4599,18-30,Male,5-10yrs,Earth roads,Dry,Darkness - lights lit,Unknown,Changing lane to the right,1,2161
4600,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Unknown,Moving Backward,1,447
4601,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,1,3250
4602,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Overspeed,1,681
4603,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1660
4604,18-30,Male,Unknown,Earth roads,Dry,Daylight,Normal,Driving carelessly,2,1649
4606,Under 18,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Unknown,No distancing,1,315
4609,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Unknown,No distancing,2,2433
4610,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Unknown,No priority to vehicle,2,267
4611,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,37
4613,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3296
4617,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3535
4618,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overturning,2,3467
4620,Unknown,Male,Unknown,Earth roads,Dry,Daylight,Normal,Drunk driving,2,766
4622,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3765
4625,Unknown,Female,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Unknown,Getting off the vehicle improperly,2,2486
4627,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,2948
4628,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,152
4629,18-30,Male,2-5yrs,Other,Dry,Daylight,Normal,Moving Backward,2,77
4630,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Driving at high speed,2,3651
4631,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,2,1412
4632,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,1420
4633,Unknown,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,1421
4634,Unknown,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,1423
4635,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Cloudy,Changing lane to the right,2,371
4637,31-50,Male,Unknown,Earth roads,Wet or damp,Darkness - lights lit,Other,Changing lane to the right,1,296
4638,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Driving carelessly,1,58
4639,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Unknown,Driving carelessly,2,2396
4640,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Unknown,Changing lane to the right,2,261
4642,Unknown,Male,Unknown,Asphalt roads,Snow,Darkness - lights lit,Snow,Changing lane to the right,2,3106
4645,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overturning,2,3565
4646,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Other,Driving carelessly,2,3363
